dateissue,Value
14030219,2219092.6
14030218,2231424
14030217,2239098.5
14030216,2259745.2
14030212,2264917.3
14030211,2268826.4
14030210,2281071.8
14030209,2284833.7
14030208,2304978.6
14030205,2304325.9
14030204,2303378.2
14030203,2316803.1
14030202,2312818.2
14030201,2285843.6
14030129,2208214.7
14030128,2201982
14030127,2206907.8
14030126,2196767.8
14030125,2207970.2
14030121,2261899.2
14030120,2254853
14030119,2234925.7
14030118,2231022.8
14030115,2250907.5
14030114,2245265.3
14030111,2261172.4
14030108,2261386.2
14030107,2249426.6
14030106,2253602.2
14030105,2236349.3
14021228,2195092.3
14021227,2160406.5
14021226,2148494
14021223,2150035.3
14021222,2163501
14021221,2161563.7
14021220,2160224.7
14021219,2163750.3
14021216,2165752.7
14021215,2172228
14021214,2140164.7
14021213,2147088.7
14021212,2086541.6
14021209,2054827.2
14021208,2046016.9
14021207,2049784.5
14021205,2066137.7
14021202,2070816.2
14021201,2071417.9
14021130,2070775.3
14021129,2064525.6
14021128,2060020
14021125,2078540.1
14021124,2090317.9
14021123,2091898.2
14021121,2100104.3
14021118,2098026.3
14021117,2097247.4
14021116,2098472
14021115,2100173.8
14021114,2111083.4
14021111,2107272.6
14021110,2110339.4
14021109,2120268
14021108,2128027.7
14021107,2126829.7
14021104,2123491.4
14021103,2120048.7
14021102,2146563.3
14021101,2153211.8
14021030,2166927.9
14021027,2185977.4
14021026,2186970.3
14021025,2194999.4
14021024,2197290.1
14021023,2180534.1
14021020,2170964.1
14021019,2156372.4
14021018,2153955.8
14021017,2154775.7
14021016,2153710.6
14021013,2155234.9
14021012,2158766.5
14021011,2168309
14021010,2176102.5
14021009,2182717.8
14021006,2177410.5
14021005,2178752.2
14021004,2194499.8
14021003,2200109.7
14021002,2208343.2
14020929,2210217.4
14020928,2211856.3
14020927,2207653.1
14020925,2171823.2
14020922,2158088.5
14020921,2161266.6
14020920,2162560.4
14020919,2161074
14020918,2160965
14020915,2171023.4
14020914,2176503.7
14020913,2165228.3
14020912,2121199.2
14020911,2087696
14020908,2060345.3
14020907,2031879.6
14020906,2026074.8
14020905,2024447.9
14020904,2019988.2
14020901,2022332.4
14020830,2020153.9
14020829,2018008
14020828,2026241.6
14020827,2028579.8
14020824,2038883.4
14020823,2046067
14020822,2055960.3
14020821,2053632.8
14020820,2054482.9
14020817,2055944.8
14020816,2052696
14020815,2030871.7
14020814,2016734.8
14020813,1999209.4
14020810,1970519.8
14020809,1981204.7
14020808,1981414.2
14020807,1961310.8
14020806,1951216.6
14020803,2002075.1
14020802,2000340.4
14020801,2021903.6
14020730,2032212.1
14020729,2024972.8
14020726,2023543.8
14020725,2031245.3
14020724,2018150.4
14020723,2001942.6
14020722,2001464.2
14020719,2019712.8
14020718,2014066.9
14020717,2005595.1
14020716,2001266.7
14020715,2052879.3
14020712,2069749.2
14020710,2067537.6
14020709,2067164.4
14020708,2084534.8
14020705,2097976.9
14020704,2097727
14020703,2101035.3
14020701,2118346.6
14020629,2121213
14020628,2128489.3
14020627,2133490.5
14020626,2135780.4
14020622,2126741.7
14020621,2127079.5
14020620,2122617.1
14020619,2123629
14020618,2129608.6
14020614,2150975.3
14020613,2136144.2
14020612,2111648.6
14020611,2105644.4
14020608,2104683.8
14020607,2095048.9
14020606,2084168.4
14020605,2051471.9
14020604,1993097.2
14020601,1946593.9
14020531,1938253.4
14020530,1956441.4
14020529,1954029.7
14020528,1957509.9
14020525,1973597.3
14020524,1978182.8
14020523,1997030.3
14020522,1987917.9
14020521,1989639.8
14020518,2036985.5
14020517,2037869.3
14020516,2051072.7
14020515,2040011.7
14020514,2033048.1
14020510,1993659.2
14020509,1973910.2
14020508,1967667.5
14020507,1996755.9
14020504,2000525.2
14020503,2001897.1
14020502,1998459.3
14020501,1976944.9
14020431,1983133.6
14020428,2016385.6
14020427,1999719.9
14020426,1956634
14020425,2021297.6
14020424,2070890.3
14020421,2071404.3
14020420,2128378.4
14020419,2158533.9
14020418,2176359
14020417,2195133
14020414,2202657
14020413,2202092.5
14020412,2183405.5
14020411,2157377.1
14020410,2143914.9
14020407,2153410.6
14020406,2168205.3
14020405,2196127.8
14020404,2189601.7
14020403,2162616.3
14020331,2173893.4
14020330,2166947.4
14020329,2164226.3
14020328,2162916.9
14020327,2182812.2
14020324,2182106.9
14020323,2155197.7
14020322,2145415.7
14020321,2208212.5
14020320,2215058.3
14020317,2288439
14020316,2289549
14020313,2279681.8
14020310,2271042.4
14020309,2288427.1
14020308,2275394.7
14020307,2257012.8
14020306,2311221.8
14020303,2345967.5
14020302,2330799.1
14020301,2318506.5
14020231,2302705.5
14020230,2297985.8
14020227,2321336.1
14020225,2301380.1
14020224,2285904
14020223,2214024.3
14020220,2277713.1
14020219,2305838.4
14020218,2314408.4
14020217,2440167.5
14020216,2535236.5
14020213,2514673.4
14020212,2518331.8
14020211,2480639.9
14020210,2479339.7
14020209,2438553
14020206,2365287
14020205,2368712.3
14020204,2326494.3
14020130,2324132.7
14020129,2325437.4
14020128,2289287.4
14020127,2275066.7
14020126,2253946.4
14020122,2179922.1
14020121,2190307.2
14020120,2212643
14020119,2202385.5
14020116,2137464.9
14020115,2119105.9
14020114,2089951.3
14020109,2078712.3
14020108,2044408.5
14020107,2029198.2
14020106,2018760.3
14020105,1998281.4
14011228,1960457.4
14011227,1905745
14011224,1820987.6
14011223,1782987.7
14011222,1781632.1
14011221,1783197
14011220,1816738.8
14011216,1817611.5
14011215,1785669.8
14011214,1795955.2
14011213,1788214.7
14011210,1821771.1
14011209,1838119.4
14011208,1809073.8
14011207,1804300.2
14011206,1738782.3
14011203,1656593.4
14011202,1659416.5
14011201,1594262.9
14011130,1533366.5
14011126,1524795
14011125,1537961.7
14011124,1548278.2
14011123,1545978.3
14011119,1558081.6
14011118,1556525.8
14011117,1537859.1
14011116,1540189.2
14011112,1557244
14011111,1556551.9
14011110,1539679.6
14011109,1542190.7
14011108,1600083.7
14011105,1611955.9
14011104,1646053.5
14011103,1653948.6
14011102,1652924.5
14011101,1657576.7
14011028,1689144.1
14011027,1687047.7
14011026,1680675.2
14011025,1643714
